,city_name,weather_result,cloudiness,date,humidity,lat,long,max_temp,wind_speed,country
0,atuona,"{'coord': {'lon': -139.03, 'lat': -9.8}, 'weather': [{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04n'}], 'base': 'stations', 'main': {'temp': 81.28, 'pressure': 1022.77, 'humidity': 100, 'temp_min': 81.28, 'temp_max': 81.28, 'sea_level': 1022.8, 'grnd_level': 1022.77}, 'wind': {'speed': 14.7, 'deg': 76.0025}, 'clouds': {'all': 100}, 'dt': 1547434644, 'sys': {'message': 0.0028, 'country': 'PF', 'sunrise': 1547478366, 'sunset': 1547523859}, 'id': 4020109, 'name': 'Atuona', 'cod': 200}",100,2019-01-14 02:57:24,100,-9.8,-139.03,81.28,14.7,PF
1,vestmannaeyjar,"{'coord': {'lon': -20.27, 'lat': 63.44}, 'weather': [{'id': 801, 'main': 'Clouds', 'description': 'few clouds', 'icon': '02n'}], 'base': 'stations', 'main': {'temp': 30.79, 'pressure': 1018.96, 'humidity': 100, 'temp_min': 30.79, 'temp_max': 30.79, 'sea_level': 1025.36, 'grnd_level': 1018.96}, 'wind': {'speed': 2.21, 'deg': 303.503}, 'clouds': {'all': 12}, 'dt': 1547435406, 'sys': {'message': 0.0163, 'country': 'IS', 'sunrise': 1547462553, 'sunset': 1547482693}, 'id': 3412093, 'name': 'Vestmannaeyjar', 'cod': 200}",12,2019-01-14 03:10:06,100,63.44,-20.27,30.79,2.21,IS
2,punta arenas,"{'coord': {'lon': -70.91, 'lat': -53.16}, 'weather': [{'id': 802, 'main': 'Clouds', 'description': 'scattered clouds', 'icon': '03n'}], 'base': 'stations', 'main': {'temp': 50, 'pressure': 1007, 'humidity': 66, 'temp_min': 50, 'temp_max': 50}, 'visibility': 10000, 'wind': {'speed': 14.99, 'deg': 260}, 'clouds': {'all': 40}, 'dt': 1547431200, 'sys': {'type': 1, 'id': 8487, 'message': 0.0036, 'country': 'CL', 'sunrise': 1547455204, 'sunset': 1547514266}, 'id': 3874787, 'name': 'Punta Arenas', 'cod': 200}",40,2019-01-14 02:00:00,66,-53.16,-70.91,50.0,14.99,CL
